empleado_id,fecha,ausente
E00001,2026-09-29,True
E00014,2026-09-29,True
E00022,2026-09-29,True
E00023,2026-09-29,True
E00050,2026-09-29,True
E00055,2026-09-29,True
E00059,2026-09-28,True
E00059,2026-09-29,True
E00067,2026-09-28,True
E00068,2026-09-29,True
E00076,2026-09-29,True
E00001,2026-09-28,True
E00002,2026-09-28,True
E00003,2026-09-28,True
E00004,2026-09-28,True
E00005,2026-09-28,True
E00006,2026-09-28,True
E00007,2026-09-28,True
E00008,2026-09-28,True
E00009,2026-09-28,True
E00010,2026-09-28,True
E00011,2026-09-28,True
E00012,2026-09-28,True
E00002,2026-09-29,True
E00003,2026-09-29,True
E00004,2026-09-29,True
E00005,2026-09-29,True
E00006,2026-09-29,True
E00007,2026-09-29,True
E00008,2026-09-29,True
E00009,2026-09-29,True
E00010,2026-09-29,True
E00011,2026-09-29,True
E00012,2026-09-29,True
E00013,2026-09-29,True
