tienda_id,fecha,hora,tickets,monto_mxn
T001,2026-09-27,0,0,0.0
T001,2026-09-27,1,0,0.0
T001,2026-09-27,2,0,0.0
T001,2026-09-27,3,0,0.0
T001,2026-09-27,4,0,0.0
T001,2026-09-27,5,0,0.0
T001,2026-09-27,6,0,0.0
T001,2026-09-27,7,0,0.0
T001,2026-09-27,8,7,843.93
T001,2026-09-27,9,11,1393.6
T001,2026-09-27,10,39,5170.21
T001,2026-09-27,11,42,4857.02
T001,2026-09-27,12,84,10863.24
T001,2026-09-27,13,134,17213.88
T001,2026-09-27,14,153,18741.52
T001,2026-09-27,15,140,16439.25
T001,2026-09-27,16,146,18495.78
T001,2026-09-27,17,174,21391.68
T001,2026-09-27,18,139,17747.38
T001,2026-09-27,19,164,20755.63
T001,2026-09-27,20,116,15885.95
T001,2026-09-27,21,84,10505.05
T001,2026-09-27,22,0,0.0
T001,2026-09-27,23,0,0.0
T001,2026-09-28,0,0,0.0
T001,2026-09-28,1,0,0.0
T001,2026-09-28,2,0,0.0
T001,2026-09-28,3,0,0.0
T001,2026-09-28,4,0,0.0
T001,2026-09-28,5,0,0.0
T001,2026-09-28,6,0,0.0
T001,2026-09-28,7,0,0.0
T001,2026-09-28,8,3,347.51
T001,2026-09-28,9,11,1320.06
T001,2026-09-28,10,24,3108.15
T001,2026-09-28,11,49,6133.26
T001,2026-09-28,12,64,7551.96
T001,2026-09-28,13,78,9419.58
T001,2026-09-28,14,116,14938.56
T001,2026-09-28,15,101,13293.43
T001,2026-09-28,16,90,12473.37
T001,2026-09-28,17,101,14617.62
T001,2026-09-28,18,98,12661.36
T001,2026-09-28,19,78,9432.49
T001,2026-09-28,20,76,8548.99
T001,2026-09-28,21,64,8260.53
T001,2026-09-28,22,0,0.0
T001,2026-09-28,23,0,0.0
T001,2026-09-29,0,0,0.0
T001,2026-09-29,1,0,0.0
T001,2026-09-29,2,0,0.0
T001,2026-09-29,3,0,0.0
T001,2026-09-29,4,0,0.0
T001,2026-09-29,5,0,0.0
T001,2026-09-29,6,0,0.0
T001,2026-09-29,7,0,0.0
T001,2026-09-29,8,4,530.18
T001,2026-09-29,9,11,1542.95
T001,2026-09-29,10,25,3210.47
T001,2026-09-29,11,42,5577.36
T001,2026-09-29,12,64,7947.93
T001,2026-09-29,13,101,12002.83
T001,2026-09-29,14,99,11974.41
T001,2026-09-29,15,104,12637.66
T001,2026-09-29,16,105,14704.77
T001,2026-09-29,17,108,13084.4
T001,2026-09-29,18,109,14401.46
T001,2026-09-29,19,91,10998.32
T001,2026-09-29,20,83,10942.08
T001,2026-09-29,21,53,6863.4
T001,2026-09-29,22,0,0.0
T001,2026-09-29,23,0,0.0
T001,2026-09-30,0,0,0.0
T001,2026-09-30,1,0,0.0
T001,2026-09-30,2,0,0.0
T001,2026-09-30,3,0,0.0
T001,2026-09-30,4,0,0.0
T001,2026-09-30,5,0,0.0
T001,2026-09-30,6,0,0.0
T001,2026-09-30,7,0,0.0
T001,2026-09-30,8,4,528.46
T001,2026-09-30,9,17,2156.85
T001,2026-09-30,10,32,4341.86
T001,2026-09-30,11,62,7882.55
T001,2026-09-30,12,97,11975.92
T001,2026-09-30,13,118,15708.57
T001,2026-09-30,14,104,13394.28
T001,2026-09-30,15,133,18127.14
T001,2026-09-30,16,118,15021.59
T001,2026-09-30,17,136,16136.51
T001,2026-09-30,18,132,15517.77
T001,2026-09-30,19,130,17840.42
T001,2026-09-30,20,116,15975.6
T001,2026-09-30,21,78,9834.4
T001,2026-09-30,22,0,0.0
T001,2026-09-30,23,0,0.0
T001,2026-10-01,0,0,0.0
T001,2026-10-01,1,0,0.0
T001,2026-10-01,2,0,0.0
T001,2026-10-01,3,0,0.0
T001,2026-10-01,4,0,0.0
T001,2026-10-01,5,0,0.0
T001,2026-10-01,6,0,0.0
T001,2026-10-01,7,0,0.0
T001,2026-10-01,8,3,356.02
T001,2026-10-01,9,11,1463.28
T001,2026-10-01,10,22,2544.64
T001,2026-10-01,11,39,4949.66
T001,2026-10-01,12,66,7977.48
T001,2026-10-01,13,94,11149.19
T001,2026-10-01,14,90,10843.15
T001,2026-10-01,15,109,13591.07
T001,2026-10-01,16,83,10933.89
T001,2026-10-01,17,98,11581.7
T001,2026-10-01,18,90,11358.48
T001,2026-10-01,19,120,14870.7
T001,2026-10-01,20,62,7669.27
T001,2026-10-01,21,67,8932.31
T001,2026-10-01,22,0,0.0
T001,2026-10-01,23,0,0.0
T001,2026-10-02,0,0,0.0
T001,2026-10-02,1,0,0.0
T001,2026-10-02,2,0,0.0
T001,2026-10-02,3,0,0.0
T001,2026-10-02,4,0,0.0
T001,2026-10-02,5,0,0.0
T001,2026-10-02,6,0,0.0
T001,2026-10-02,7,0,0.0
T001,2026-10-02,8,3,399.01
T001,2026-10-02,9,10,1356.84
T001,2026-10-02,10,28,3392.9
T001,2026-10-02,11,46,5763.73
T001,2026-10-02,12,60,7062.26
T001,2026-10-02,13,83,10146.29
T001,2026-10-02,14,101,12960.09
T001,2026-10-02,15,83,11085.45
T001,2026-10-02,16,91,11098.43
T001,2026-10-02,17,105,12855.68
T001,2026-10-02,18,115,12970.71
T001,2026-10-02,19,109,13709.57
T001,2026-10-02,20,71,8557.37
T001,2026-10-02,21,62,7590.62
T001,2026-10-02,22,0,0.0
T001,2026-10-02,23,0,0.0
T001,2026-10-03,0,0,0.0
T001,2026-10-03,1,0,0.0
T001,2026-10-03,2,0,0.0
T001,2026-10-03,3,0,0.0
T001,2026-10-03,4,0,0.0
T001,2026-10-03,5,0,0.0
T001,2026-10-03,6,0,0.0
T001,2026-10-03,7,0,0.0
T001,2026-10-03,8,6,695.77
T001,2026-10-03,9,18,2343.01
T001,2026-10-03,10,39,5390.6
T001,2026-10-03,11,66,7917.67
T001,2026-10-03,12,94,11727.13
T001,2026-10-03,13,151,19881.97
